Experiment,Dice_Mean,Dice_Std,Dice_Scores,Precision_Mean,Precision_Scores,Recall_Mean,Recall_Scores,Convergence_Epochs_Mean
Resnet No Augmentation,0.5808901601403507,0.0566468067073501,"[np.float64(0.5352327310703182), np.float64(0.6528915674329646), np.float64(0.4972614002998844), np.float64(0.6011373888204607), np.float64(0.6179277130781256)]",0.6694132908637856,"[np.float64(0.6129087545381559), np.float64(0.7071439586916431), np.float64(0.6260471849202113), np.float64(0.6497510201916784), np.float64(0.7512155359772397)]",0.6983802480416896,"[np.float64(0.6969333657824471), np.float64(0.7567252163044202), np.float64(0.6116735693711857), np.float64(0.7508827476525252), np.float64(0.67568634109787)]",41.0
MIT-B3 Adam Simple 0.3 BCE,0.7406478517418164,0.0232991023018075,"[np.float64(0.7266584781730313), np.float64(0.7197328016497125), np.float64(0.718876784541885), np.float64(0.7682562317059253), np.float64(0.7697149626385273)]",0.7109341586459643,"[np.float64(0.7030282425489461), np.float64(0.6650290938207468), np.float64(0.7028410158291829), np.float64(0.7440561100147295), np.float64(0.7397163310162163)]",0.8847909896751871,"[np.float64(0.8729665818042911), np.float64(0.9183863230893454), np.float64(0.860715678884552), np.float64(0.8780331745836703), np.float64(0.8938531900140766)]",40.0
MIT-B3 Adam Simple 0.2 BCE,0.7499972804838815,0.0274483971533485,"[np.float64(0.7219685944378152), np.float64(0.785902195443627), np.float64(0.7548963512857038), np.float64(0.771776076404508), np.float64(0.7154431848477533)]",0.7363881721831858,"[np.float64(0.7055849660635535), np.float64(0.7764349978203017), np.float64(0.751572639024724), np.float64(0.7745536518788173), np.float64(0.6737946061285321)]",0.87079326465013,"[np.float64(0.8595695794283995), np.float64(0.8861862497494223), np.float64(0.8527832702373122), np.float64(0.8523666291140781), np.float64(0.9030605947214376)]",43.4
MIT-B3 Adam Simple Focal,0.7733435886273251,0.0253529975690318,"[np.float64(0.7447389472844402), np.float64(0.8154388896286638), np.float64(0.752073589985048), np.float64(0.7688380018344885), np.float64(0.7856285144039847)]",0.8053466763006956,"[np.float64(0.785934269177178), np.float64(0.8492501903827336), np.float64(0.7996358736933394), np.float64(0.7643899905108772), np.float64(0.8275230577393499)]",0.8307922747516743,"[np.float64(0.8019211047961112), np.float64(0.8395751733391109), np.float64(0.8070957887019453), np.float64(0.8706784960109334), np.float64(0.8346908109102705)]",40.0
ResNet Adam 0.3 BCE,0.6930796759604327,0.0599729359095946,"[np.float64(0.6125422084517635), np.float64(0.7014413160183035), np.float64(0.7549225892216491), np.float64(0.636806593536867), np.float64(0.7596856725735804)]",0.6653333820332205,"[np.float64(0.5851281574409803), np.float64(0.6257044242945641), np.float64(0.7589935010742079), np.float64(0.5856245428180549), np.float64(0.7712162845382952)]",0.8638195296117968,"[np.float64(0.8551556676622767), np.float64(0.9330007068336221), np.float64(0.8219422542334112), np.float64(0.875810730870789), np.float64(0.8331882884588844)]",25.6
ResNet Adam 0.2 BCE,0.7496517929588714,0.0319970873646145,"[np.float64(0.7365532107218317), np.float64(0.7893600372999859), np.float64(0.6961550634571925), np.float64(0.7716799993311735), np.float64(0.7545106539841735)]",0.767528797070462,"[np.float64(0.7655810026820693), np.float64(0.7904331621966423), np.float64(0.6885870030822131), np.float64(0.78422321468459), np.float64(0.8088196027067951)]",0.837473129272289,"[np.float64(0.8107503033145494), np.float64(0.8736483588326999), np.float64(0.8407325578978394), np.float64(0.8404282525205689), np.float64(0.8218061737957874)]",33.8
Resnet Tversky,0.7090640325185771,0.0762627070749651,"[np.float64(0.561328376336165), np.float64(0.7481129679826414), np.float64(0.7447973883199767), np.float64(0.7754688751301828), np.float64(0.7156125548239198)]",0.7404612324193941,"[np.float64(0.5287264283711698), np.float64(0.7986274910681915), np.float64(0.7825246128888489), np.float64(0.7712504903969974), np.float64(0.8211771393717633)]",0.8235472125092957,"[np.float64(0.8314582337197621), np.float64(0.8192935548924194), np.float64(0.820408314536939), np.float64(0.8571639285971641), np.float64(0.7894120308001947)]",25.2
ResNet Adam Focal,0.7376341442459518,0.0124836380028163,"[np.float64(0.7293667070448133), np.float64(0.7444983660963365), np.float64(0.7214581323687017), np.float64(0.7352981105929203), np.float64(0.7575494051269873)]",0.8272585402032432,"[np.float64(0.8118618827577841), np.float64(0.8510219053998546), np.float64(0.8369184420187123), np.float64(0.7744288708229922), np.float64(0.862061600016873)]",0.777753238984992,"[np.float64(0.7637828544987368), np.float64(0.7776101090110983), np.float64(0.7540656524082274), np.float64(0.8038817175972792), np.float64(0.7894258614096189)]",32.4
MIT-B3 Adam Simple Tversky,0.7595024374447777,0.0236894779428359,"[np.float64(0.733845076882437), np.float64(0.7878005206684714), np.float64(0.7383539326283226), np.float64(0.7878396576964736), np.float64(0.7496729993481841)]",0.7426752035358587,"[np.float64(0.7215673299821521), np.float64(0.7816633944965679), np.float64(0.728020583376589), np.float64(0.7803801730553326), np.float64(0.7017445367686519)]",0.8710838141456602,"[np.float64(0.8563429923702176), np.float64(0.8780609858510815), np.float64(0.8628854649979893), np.float64(0.8503049620901597), np.float64(0.907824665418853)]",41.8
MIT-B3 Adam,0.6965524837336386,0.0476816889113201,"[np.float64(0.7225319792648616), np.float64(0.7023634953994605), np.float64(0.7666794275139216), np.float64(0.662141319873829), np.float64(0.6290461966161206)]",0.7087826845438616,"[np.float64(0.7394767068455391), np.float64(0.7023116564106012), np.float64(0.809155410775606), np.float64(0.6344596604851138), np.float64(0.6585099882024479)]",0.8308113590615935,"[np.float64(0.8301797737700204), np.float64(0.8660897527543698), np.float64(0.8012410379631195), np.float64(0.8607305852725842), np.float64(0.7958156455478738)]",27.6
