train_loss,val_loss,val_f1,lr,is_swa
0.5376008425386427,0.4981174136295259,0.40712036501510185,0.001,False
0.4666772261438077,0.41869057574362123,0.49037419130603216,0.001,False
0.45982980028299764,0.39570817951136417,0.5325154220960385,0.001,False
0.4351472499522757,0.3904044577535593,0.5657108274333348,0.001,False
0.4075977164779337,0.3907916407165287,0.5647908376175189,0.001,False
0.3929758297119486,0.38853779622593765,0.608606197935686,0.001,False
0.3847475897100988,0.34803457305116475,0.6321587099961187,0.001,False
0.35334355322463573,0.3499259814713736,0.6611805889583667,0.001,False
0.32858950674674753,0.33601281927816523,0.6559894760924273,0.001,False
0.3307690294217274,0.3276814393839746,0.5864802032403412,0.001,False
0.330866958044757,0.33828251935401055,0.6438163652860202,0.001,False
0.2969872409006664,0.3511376125070284,0.5785672918956611,0.001,False
0.2891620081696011,0.32479310063820965,0.6898915002390672,0.0005,False
0.2662024457004711,0.31739318286472895,0.6643064633260711,0.0005,False
0.26213029151455075,0.2876802924669014,0.6980870388814444,0.0005,False
0.2746500230568239,0.2970610299387818,0.6638052465040318,0.0005,False
0.23728653880157652,0.31582950964663764,0.650613647520864,0.0005,False
0.24431375218621382,0.29411632778509605,0.7114474419362612,0.0005,False
0.24282239478483644,0.3682491297616899,0.6536817989442938,0.0005,False
0.235433500996953,0.3054624245789066,0.6859344019894479,0.0005,False
0.23766906302307797,0.3002935253411719,0.6886104038556069,0.0005,False
0.21886002992766404,0.2977499926240189,0.7286146323314465,0.0005,False
0.19573817610552782,0.33908007748471863,0.6480738079690239,0.0005,False
0.19897669104021115,0.30073384612611254,0.7080642409093675,0.0005,False
0.19100141986746597,0.2864562765982166,0.7168294541775784,0.0005,False
0.1815603263294537,0.35397400022865094,0.6515106348349738,0.0005,False
0.17817152049054866,0.3181775963906222,0.6998776954152482,0.00025,False
0.15866173978181594,0.31713537712517026,0.7096371044706612,0.00025,False
0.15712856884731657,0.33815442325559053,0.6981905145842258,0.00025,False
0.15085366765188363,0.344738688202774,0.67654611132872,0.00025,False
0.14631631534173792,0.33259010399287603,0.7268019304774208,0.000125,False
0.14729962600108862,0.33094057009654976,0.691177605167422,0.000125,False
0.1354242115449586,0.34243044735125777,0.7175661020202505,0.000125,False
0.12808471886401482,0.3415954535674749,0.7112162584317434,0.000125,True
0.13965103144106478,0.3602864550157163,0.7009589818487695,0.00012316461936106825,True
0.15307672061114164,0.32596722695062746,0.6811247323391929,0.00011783813728906051,True
0.17039324081348,0.391347975850855,0.6574169113543499,0.00010954194696096773,True
0.19083757295770096,0.34486049685463216,0.6504702967522058,9.908813728906052e-05,True
0.2356285459183632,0.3432174654876661,0.6654514353711142,8.749999999999999e-05,True
0.26039644385342336,0.32125369201666154,0.6364761516091965,7.591186271093947e-05,True
0.22871863891328761,0.3635118642130738,0.6827349527954151,6.545805303903227e-05,True
0.2475963696144621,0.4078268073264908,0.6306850258057959,5.7161862710939474e-05,True
0.2308201877219739,0.3417171237978545,0.6530003894250749,5.183538063893174e-05,True
0.2296774592911098,0.36615388329673865,0.6593789744086683,5e-05,True
0.18160435486910756,0.37286186827428686,0.6458678784728135,5e-05,True
