train_loss,val_loss,val_f1,lr
0.5617681851141437,0.43123481997589425,0.49199391171993917,0.001
0.5313735547856032,0.40516576725314923,0.47926495283910747,0.001
0.5388213675000975,0.4124651885202785,0.38140241534638086,0.001
0.5679101226231686,0.40387423144374773,0.4875703794894468,0.001
0.5581403673916115,0.40275664709684417,0.5360637868148209,0.001
0.637618848906179,0.41116532178844994,0.3570606320805723,0.001
0.5079609400286588,0.46782510039785247,0.532359330854124,0.001
0.43026619617533013,0.3230547397507457,0.5256653493839633,0.001
0.35555235060558876,0.37132341640920735,0.6330007098321572,0.001
0.3587524533554537,0.3367739538927966,0.6105013414144199,0.001
0.31983456994737824,0.3375085299013285,0.6868839208430438,0.001
0.2842590234670632,0.2977066445668543,0.7472558936647676,0.001
0.2754911379268996,0.2469991970455318,0.732241851636144,0.001
0.24186313617010607,0.280488660575558,0.7528218343906453,0.001
0.2477312219072594,0.27790785140145247,0.6648456763559659,0.001
0.24486448554190848,0.2684663343078303,0.7343545969653947,0.001
0.20957774623943665,0.2840494031382644,0.7471918095406904,0.001
0.20559292645576907,0.3021052806843512,0.7200170653562762,0.001
0.16485697857919895,0.3019676396172259,0.6971294611072204,0.0005
0.15609704173767197,0.2840138841289789,0.7404442454945711,0.0005
0.13500018277195888,0.3862950901273894,0.7661762951947867,0.0005
0.13041003029325315,0.37014796410038275,0.7129900432060912,0.0005
0.1311568569239576,0.40755442342128306,0.7625496139144529,0.0005
0.11403111604105694,0.33082726906774956,0.7493752110773388,0.0005
0.11146107545933108,0.42705074604903237,0.7457919028590899,0.0005
0.10395857961476583,0.31062790627049797,0.7496553908664927,0.00025
0.07936194834715704,0.38701097627883757,0.7761497761497761,0.00025
0.09490416373878749,0.36963897078757735,0.7683310823680155,0.00025
0.07629627015436148,0.3563765809055089,0.7644579375911019,0.00025
0.08661890911588334,0.36487630991620795,0.7565345169818146,0.00025
0.09133843222757854,0.3559832821094288,0.757305499866686,0.00025
0.07398846153857777,0.3521817767993604,0.7670936768371863,0.000125
0.06286909326577275,0.44716114962247455,0.7724916399304997,0.000125
0.0779771068963755,0.46883793402577695,0.7827005042618401,0.000125
0.08037728026135539,0.3984854679056584,0.7818067658484159,0.000125
0.062406638918297404,0.4088870165978769,0.7751743025285626,0.000125
0.05709218454917859,0.47822718945587983,0.7912318518852163,0.000125
0.0669406050060655,0.3729273297116572,0.7752434739011921,0.000125
0.07607852714996878,0.42226915304378754,0.7815243866410184,0.000125
0.058612702173869054,0.4678580298732118,0.7764825792829324,0.000125
0.05993241095454595,0.48515912124840804,0.762790960924873,0.000125
0.06499438520687086,0.4800708572557501,0.7653622938102355,6.25e-05
0.053037803986357886,0.48733950902894185,0.7670258742830235,6.25e-05
0.0651218045617423,0.48600657179652823,0.7745572756825571,6.25e-05
0.05413484109048431,0.4461197378163098,0.7804342226868476,6.25e-05
0.05181079144987102,0.451246013558739,0.7848867838968107,3.125e-05
0.04848643241962785,0.47545712209475727,0.7823461720938574,3.125e-05
0.052666018572059894,0.4857779084336753,0.7743665505007122,3.125e-05
0.04766436107141118,0.5024921830781226,0.7748282586535478,3.125e-05
