train_loss,val_loss,val_f1,lr
0.9014527888133608,0.8339326171832677,0.40960258946232697,0.001
0.8558644208414802,0.834059983815197,0.4469421843690715,0.001
0.8389001106393749,0.8126325374524269,0.44214800117577896,0.001
0.8222276362879523,0.7901808731184439,0.47171343799347115,0.001
0.8192933781393643,0.7821954985165737,0.4777751459806572,0.001
0.8054048529986677,0.7056604854218823,0.6649518514272613,0.001
0.7524786727181796,0.658881491898785,0.6578332721263312,0.001
0.7182726029692025,0.7850840066429191,0.6166625925473247,0.001
0.7206619945065729,0.6742773128993059,0.6874933517258898,0.001
0.6880478706853143,0.6299571290435876,0.6924334959060955,0.001
0.6713474904668743,0.6007699278831717,0.7067601149474464,0.001
0.6420941069208342,0.5821755894072193,0.7334523405491434,0.001
0.6344224864038928,0.5807620988795038,0.7463217526260012,0.001
0.6119932544642481,0.5488098804532189,0.764891886194064,0.001
0.6093956400608195,0.5417686885395464,0.7705157509017048,0.001
0.588185443138254,0.5484654094722614,0.7687100361047466,0.001
0.5858447494177983,0.5657400524048998,0.7594181156031481,0.001
0.5758323167932444,0.5300561966598621,0.7838358821268764,0.001
0.5681146264076233,0.5313349040390472,0.7533308514433741,0.001
0.5693000871559669,0.5415520750471121,0.7770207927682069,0.001
0.551405531990117,0.5324462764405993,0.7748727072618958,0.001
0.5472950886035788,0.5419919635564148,0.7682312005849106,0.001
0.5361308167720663,0.5142564475977209,0.7798074043672237,0.0005
0.5197432096662192,0.5064270886531949,0.7931643625192013,0.0005
0.5158764561702465,0.5014410509160284,0.7870442130230723,0.0005
0.5287684940058609,0.5054331809811338,0.7992330484652976,0.0005
0.5137504072024904,0.5093426879429253,0.7811265093990416,0.0005
0.5100575568347142,0.4920220852221493,0.7869278519759062,0.0005
0.5093738344208948,0.48301160407548355,0.7995535622287043,0.0005
0.48966308256675456,0.48142170143374324,0.8098839016257724,0.0005
0.5022817665132983,0.49670179978865375,0.7970968762673869,0.0005
0.5060788553336572,0.4827381131299854,0.8109497296861132,0.0005
0.49486553648422504,0.5104353735388736,0.786600078958883,0.0005
0.48737317405897995,0.5054020778050085,0.7981237692432712,0.0005
0.49713165513400376,0.48565613810538777,0.7996334910917805,0.0005
0.47936029989143897,0.4822973880689055,0.8138080222234736,0.0005
0.4748784521530414,0.4744059872727187,0.8197139350388435,0.0005
0.46065358581214116,0.4786233067130431,0.8031068524970965,0.0005
0.4736840478305159,0.4773618288382271,0.8075212073900598,0.0005
0.4633486704579715,0.48512751970594453,0.7856492412776032,0.0005
0.4814308996858268,0.47970760375613997,0.7905818167722929,0.0005
0.4591397706804604,0.4842666880148637,0.803361586176003,0.00025
0.44512228493032785,0.4827854358085984,0.7962354663029183,0.00025
0.4487226568419358,0.4758604298064695,0.8030172997430526,0.00025
0.475398195200953,0.4765671423289197,0.7843183117625655,0.00025
0.4554901123046875,0.47280153204527126,0.8052425228668797,0.000125
0.44786965055712336,0.476623596289219,0.8150885778559758,0.000125
0.4549614713109773,0.4803990502005968,0.8030411312177638,0.000125
0.43923217181501717,0.47582774823880525,0.8106625887566911,0.000125
