train_loss,val_loss,val_f1,lr,is_swa
0.470266261285749,0.3922298523272283,0.32703011863189424,0.001,False
0.39734948154153493,0.3552457046579327,0.3844591598574587,0.001,False
0.39179767740183863,0.3445210503138734,0.4785781217674905,0.001,False
0.3513482443217574,0.33969298058007596,0.47462377990305454,0.001,False
0.34788147766014627,0.3184569301983779,0.5746129689290393,0.001,False
0.33732354394320785,0.2905147998231873,0.6224139648388864,0.001,False
0.3038637331847487,0.2903443086282506,0.5908905052026867,0.001,False
0.30671561339805864,0.25457666701172466,0.6946193217641731,0.001,False
0.287705618040315,0.29196698263037724,0.7224005508766354,0.001,False
0.2991159967307387,0.25278825968268825,0.6646227667399908,0.001,False
0.2884697493808023,0.26929395664593525,0.686291755775651,0.001,False
0.26959339400817606,0.25048411093079126,0.6451946268423906,0.001,False
0.26786837372286565,0.23556611806712677,0.708525061303618,0.001,False
0.2678191954719609,0.2319178382849552,0.6919589264529161,0.0005,False
0.2576460426223689,0.24113195312358218,0.6908561576735376,0.0005,False
0.2470743364301221,0.2386165562635049,0.6991086333948523,0.0005,False
0.23600345130624442,0.23528211682491165,0.7309819142123674,0.0005,False
0.2541359820242586,0.2189087781070546,0.7249107945929719,0.0005,False
0.2388247822893077,0.23056597404064394,0.7022880086218611,0.0005,False
0.23879769516402277,0.22962272164266725,0.6993541977148535,0.0005,False
0.2297985374927521,0.2434434768995472,0.6991511377090124,0.0005,False
0.23206493350966223,0.22075805306816712,0.7261146760596388,0.00025,False
0.2269455654867764,0.2174359424594474,0.7175472553532818,0.00025,False
0.22421832177145729,0.22808425352565165,0.7090819622752736,0.00025,False
0.22249664129882024,0.2214134026105705,0.7143045278761537,0.00025,False
0.2165700290737481,0.22054705576313552,0.720460509681863,0.000125,False
0.21930569430877422,0.2204658467013984,0.7229602031702232,0.000125,False
0.21936746794601966,0.22143943746311542,0.7190731901352426,0.000125,False
0.2122511593946095,0.21970077879227243,0.713631128995109,0.000125,False
0.22270276916438136,0.2199676254620919,0.7229602031702232,6.25e-05,False
0.219071731074103,0.2205710135459077,0.7185651812528479,6.25e-05,False
0.21420410779015772,0.21813226940158087,0.7178359268784801,6.25e-05,False
0.2079137462480315,0.22061075053051027,0.7223900843857874,6.25e-05,False
0.22006392715306117,0.21863963285964386,0.7229602031702232,3.125e-05,True
0.21541952973809736,0.21727931028125436,0.7227006432588302,3.170884515973294e-05,True
0.2109763635129764,0.23470415316404558,0.6924972124787737,3.304046567773487e-05,True
0.22289134109842365,0.2313508139868107,0.764903121871337,3.511451325975806e-05,True
0.2604044678910025,0.22474367753464794,0.7001751127339731,3.7727965677734866e-05,True
0.2537524366173251,0.22352411415009105,0.7384325612223345,4.0625e-05,True
0.26022422169816906,0.2991636322785529,0.6259192808185042,4.352203432226514e-05,True
0.278268685320328,0.22376432720226413,0.7391458399826077,4.6135486740241934e-05,True
0.266758282636774,0.21212494786997754,0.7264820203926138,4.8209534322265136e-05,True
0.2690657988704484,0.22099033472747256,0.6322988804013472,4.9541154840267065e-05,True
0.2492867545834903,0.21774574127452379,0.7364451545519607,5e-05,True
0.2445527928656545,0.22795989533382996,0.7465473619607269,5e-05,True
