train_loss,val_loss,val_f1,lr
1.5164611462889046,2.2967276894165978,0.29220762424365426,0.001
1.2304134327789833,1.701054105039179,0.4333141403206417,0.001
1.2370354282444922,0.879997100232856,0.6434975322456131,0.001
1.0991969223680167,1.2496169913978972,0.5876853553618835,0.001
1.1643504011219945,2.4261554106964347,0.41585034427195006,0.001
1.1231159037557141,0.9548929001129356,0.6339353812699804,0.001
1.03526023215261,1.0699567886499257,0.6612924985298969,0.001
1.0005072100409147,1.0856453913311737,0.6250193860143171,0.001
0.97543295498552,1.0613413227968198,0.5898287259960368,0.001
0.9787813573048032,1.0872004287550685,0.6398815730851428,0.001
0.8563949872707498,1.034899185571445,0.6440573746721252,0.001
0.8695319872477959,0.8540148902280326,0.6473786931746869,0.0005
0.8169736270246835,0.7588264912704862,0.7161293559569422,0.0005
0.7964840153167988,0.7410051685039696,0.7317566564358898,0.0005
0.7854621965309669,0.9073903649398796,0.6717952125577846,0.0005
0.7888256377187268,0.7674513105633696,0.6811633945960467,0.0005
0.7535971355849299,0.7398892954667879,0.7280914709614367,0.0005
0.7715037481538181,0.7551945641901366,0.7309166644319899,0.0005
0.7469209031812076,0.7571469788794098,0.7386238079299535,0.00025
0.7031277654499843,0.7157928649725528,0.7364999651252004,0.00025
0.721972945640827,0.725262664949165,0.7384678715336325,0.00025
0.7044275287924142,0.6975472481586994,0.7410569122555302,0.00025
0.6858782994336096,0.738103018651112,0.718314439403127,0.00025
0.70219968886211,0.7130372869897876,0.7387975183305132,0.00025
0.6733435022419897,0.6885841948511098,0.7338340751099036,0.00025
0.6865117249817684,0.6780927418868923,0.7284413908199071,0.00025
0.6605160289797289,0.685182436330784,0.7319514330296459,0.000125
0.6784662217929446,0.6639184425098186,0.7594372471105908,0.000125
0.6700443609007474,0.6840061893433156,0.7525206868101829,0.000125
0.6736219221147998,0.6545418492523876,0.7491474016645183,0.000125
0.6586135724495197,0.676454994776075,0.7507456301553924,0.000125
0.6742953637550617,0.6991145023139271,0.7349586215461611,0.000125
0.6304101195828667,0.6742047722831633,0.7400435785983902,6.25e-05
0.6469642690543471,0.6944571906292932,0.7318780152823007,6.25e-05
0.6585488802400129,0.6853949310114751,0.7208971007980814,6.25e-05
0.6454048076580311,0.6838371918134435,0.7415330022981935,6.25e-05
0.671870088988337,0.6751944980119342,0.7515039544443135,3.125e-05
0.6390204273421188,0.6779061414933298,0.7359972560321011,3.125e-05
0.6466368379264043,0.6605506136102319,0.7488103734400858,3.125e-05
0.6543568430275752,0.6700397503858017,0.7531401739360178,3.125e-05
