train_loss,val_loss,val_dice,val_precision,val_recall,lr
0.7278568778550817,0.5634022688164431,0.27610299472929195,0.1896708945657303,0.9439572890477227,0.0001
0.678760474338225,0.5354267709395465,0.46959148707870774,0.4298233562043937,0.7912805688040141,0.0001
0.6539946015744628,0.5143677837708417,0.4789113239592875,0.3916018329667515,0.8964874294582288,0.0001
0.6384959212044997,0.4978007656686446,0.4725741575136951,0.38364553195519896,0.9182398688974859,0.0001
0.6158733191832034,0.5011239735519185,0.4564412868149553,0.36182196435688424,0.9406164516626027,0.0001
0.6084048311848871,0.49157606503542733,0.4098487215512019,0.3070543774684336,0.9580444272589214,0.0001
0.5854998873397064,0.4688822609536788,0.5659736483098156,0.5126703957345462,0.848563508860118,0.0001
0.5694497699201181,0.4623565743951237,0.5017016125780486,0.4047007507222022,0.9347604093448154,0.0001
0.5484229230468146,0.4631190247395459,0.4551138838542838,0.35908734922676633,0.9479227021997199,0.0001
0.5423147691637094,0.47209902020061717,0.4200051144246526,0.3176848153812453,0.9614954784218901,0.0001
0.5209530165375237,0.4298330983694862,0.585714705738814,0.5421768648734575,0.8581882478082863,0.0001
0.5078271567747826,0.44574642181396484,0.5782780807546831,0.5944505586015667,0.7746311361628959,0.0001
0.48975076457331296,0.41185350277844596,0.5801878408090333,0.5256345597142082,0.8718338891943488,0.0001
0.486183799683532,0.4143813760841594,0.5741949439965351,0.6185723309143042,0.7366752967517682,0.0001
0.46859233503141273,0.3816772874663858,0.546559418714619,0.462202055652423,0.9239935305330192,0.0001
0.44940226327061505,0.37423417673391457,0.5910926508783761,0.5731082594888791,0.8161038100231648,0.0001
0.4380003942547387,0.39990906154408173,0.5828622585582289,0.5617884236677045,0.8287960432206888,0.0001
0.42282688116703104,0.3510862764190225,0.6089888033627163,0.5607627373202605,0.8838736075560683,0.0001
0.40602806575218736,0.36659252292969646,0.5678182695184965,0.49559864640226686,0.8928713424618206,0.0001
0.39629703148628487,0.3649240311454324,0.5505004585994056,0.4676297342017688,0.9273611724174879,0.0001
0.3679537742924779,0.334791222039391,0.5782794936178683,0.5248915987039424,0.8640210833679144,0.0001
0.3743218347080264,0.390125011696535,0.5567081188453396,0.5926413068420519,0.7378494856987133,0.0001
0.3560145365440359,0.3218105856110068,0.6221523171319644,0.6163489798989447,0.8337215701810891,0.0001
0.34382744757884515,0.33744259792215686,0.5928291655157205,0.5864282127339526,0.8226067793909522,0.0001
0.3377131809410265,0.29541916005751667,0.6120314335400002,0.5525871223595853,0.9035170474663703,0.0001
0.3114542866077352,0.3277380308684181,0.5735173070228521,0.5107787320382505,0.8778291958117687,0.0001
0.320459720009779,0.3764111224342795,0.6113324669345213,0.6458497803249741,0.7813800482852924,0.0001
0.3263115888030921,0.34028615145122304,0.6034776109601477,0.5840585562695021,0.83602616736487,0.0001
0.2938487202629023,0.300799474996679,0.5879318913557009,0.5090208310980903,0.9313834875620268,0.0001
0.2765460360624882,0.2914506372283487,0.6203160040823805,0.5595916204620148,0.8957152957455532,5e-05
