train_loss,val_loss,val_dice,val_precision,val_recall,lr
0.9860966021631971,0.8897189841820643,0.1400089410000459,0.0839418373278634,0.9808872548660429,1e-05
0.9142842107348972,0.8191229380094088,0.14942698475292399,0.09052600227140428,0.9804734708649097,1e-05
0.8658085647924447,0.7891591282991263,0.1630716078251409,0.1002872747826171,0.9732453560475076,1e-05
0.8408148721412376,0.7669043529492158,0.1847230271151181,0.11575565765859158,0.9698929966676353,1e-05
0.8193606643029201,0.7526603558888803,0.22708925247056047,0.14840111612021542,0.9532091962819053,1e-05
0.8090939880889139,0.738730333172358,0.28467426898141157,0.1948058927378102,0.9521978557257369,1e-05
0.7916150010662314,0.729606942488597,0.34898777259431163,0.2518012762576669,0.9334889084174491,1e-05
0.7860452594580474,0.7143619587788215,0.3981070537590115,0.2983503700826834,0.9260985836666769,1e-05
0.7760464783068056,0.7040165697152798,0.4209760300618946,0.32293311299079464,0.9240943926154858,1e-05
0.764926732911004,0.6901315983671409,0.4276468953648433,0.3254011932378308,0.9344301785869266,1e-05
0.7551647309903745,0.6815737101894158,0.45273177608052606,0.35160877992848916,0.9253483514975885,1e-05
0.7439919718989619,0.6764301468546574,0.4618563262120017,0.3641849096238748,0.9123535907948462,1e-05
0.7412993484073215,0.6765534465129559,0.5008302292499827,0.4205362529690352,0.8757856859468597,1e-05
0.7320002791322308,0.6708926696043748,0.4640939571728155,0.3681122070795847,0.9073886408998834,1e-05
0.7256795995029403,0.6680997042701795,0.485248457922417,0.3945849141169005,0.8893904002375402,1e-05
0.7156096465793657,0.6591741849596684,0.4582112443632808,0.3568351047444928,0.919461769632901,1e-05
0.7150157192606985,0.6571051220481212,0.45871970045227417,0.35813301803253,0.9191376207729617,1e-05
0.7025943844406694,0.652107179738008,0.4742742423692786,0.37798726544031785,0.9077498334839295,1e-05
0.7017588379942341,0.6500986487819598,0.5033973546707159,0.41810550341914926,0.8873485784376559,1e-05
0.6946391288145088,0.6440167008684232,0.50341657345017,0.4139999900936328,0.8924045109120432,1e-05
0.6883108964672795,0.6361543518992571,0.474460989817052,0.3736692530068331,0.9192738602455539,1e-05
0.6842580069730311,0.6356866170580571,0.49233223828682865,0.39706900275166307,0.9060727561481097,1e-05
0.6757765269573824,0.636534659908368,0.5160981489992937,0.4324365620712727,0.8783560429735475,1e-05
0.6720395824055613,0.6277939660044817,0.523432757726593,0.4394137454836998,0.8907306236535586,1e-05
0.6676177547301775,0.6278410978042163,0.4878211441587709,0.38937028320567435,0.9164235331077168,1e-05
0.6617932098883169,0.6261454333479588,0.5177737393924983,0.4302586815467049,0.8959988327265481,1e-05
0.6597232441843291,0.6199929794439902,0.5323481097430899,0.44887763825785526,0.8952916116087968,1e-05
0.6516763793097602,0.6150307426085839,0.5284204699533727,0.4337600966791575,0.907460679960088,1e-05
0.6518212584801663,0.6165971314677825,0.4990412909248481,0.4023567691046307,0.9148996033905972,1e-05
0.6482244541615616,0.6111317288417083,0.5098563197473247,0.41264311822297783,0.9169367907935904,1e-05
0.6381663510828842,0.6072981563898233,0.5391431945669585,0.45523168613362436,0.8933691597548608,1e-05
0.6390215342427478,0.606443801178382,0.5455220634691608,0.46087174985347296,0.8911536734949403,1e-05
0.6352233913209703,0.6111994316944709,0.5761148936562482,0.508704453641802,0.8650346280714385,1e-05
0.6332830683684644,0.5985982475372461,0.5343324585152754,0.43897903348963613,0.9126912371760864,1e-05
0.6287590868679094,0.5943296058819845,0.545069186576903,0.45178029917426016,0.9099098640582449,1e-05
0.6229374545591849,0.5941363338094491,0.49845489580637914,0.39325145752072627,0.9342200983664356,1e-05
0.6205563405413687,0.5962237861867135,0.5705283310598984,0.5042394450917791,0.8757959880622554,1e-05
0.6165317826800876,0.5901152921410707,0.5550656138751054,0.4700121744820815,0.8969852327939684,1e-05
0.6095450948785852,0.5900696616333264,0.5648116415143205,0.48708241281873477,0.8834896870844373,1e-05
0.6072265430733009,0.5870824728447658,0.5769093158310213,0.5062435904968359,0.872217436985957,1e-05
0.6072975352958396,0.5883848658547952,0.5881673224410336,0.5283186288839815,0.8599621194174387,1e-05
0.6006919787253863,0.5837262109495126,0.5933887434548086,0.5358482155559903,0.8613647574586785,1e-05
0.595077716421198,0.5822576198440331,0.6022007678886249,0.5467716275753727,0.8593266310049128,1e-05
0.5914198988749657,0.5809008407478149,0.5970372870442789,0.5393077196335948,0.859483665318117,1e-05
0.5894029436288056,0.5834055677629434,0.6066690348475003,0.5629271418686563,0.8456922304285163,1e-05
0.5834529074621789,0.5796755305849589,0.6141762246312168,0.5812031834725082,0.8345611980502898,1e-05
0.5771907566506186,0.5758941904283487,0.6104519209946252,0.5670289980103811,0.8497051526349599,1e-05
0.5758686773570967,0.5724407041875216,0.5944745427920212,0.5488863239810933,0.854129586778156,1e-05
0.5659422839129412,0.5752302683316745,0.6041177477147925,0.5645688261086351,0.843659088312171,1e-05
0.5603281539163472,0.5703045344696596,0.618701295486955,0.5899297905299636,0.8355819798667092,1e-05
0.5566138080608698,0.570425176849732,0.6229265058403513,0.6008130542971873,0.8332074579441074,1e-05
0.5537380788061353,0.5687890465442951,0.6110527135969809,0.5742817895595285,0.847975806160207,1e-05
0.5483238020060975,0.5638683435435479,0.6462021971648234,0.631375385360409,0.8294424345162822,1e-05
0.5432769202891691,0.558321089985279,0.631609681820218,0.6088784537196279,0.8401480144014142,1e-05
0.5396606630749172,0.5584126066129941,0.6540544481835662,0.6240774104935081,0.8435452332131105,1e-05
0.5310204361691887,0.5632709006850536,0.673246753785948,0.6708342251397131,0.8177685050769286,1e-05
0.5268016550276015,0.5542965648839107,0.688895741906797,0.6928940032631882,0.8215703849947363,1e-05
0.5247285279226892,0.5497229778422759,0.6833528540886061,0.6670800907862924,0.8362959562899507,1e-05
0.5156533180931469,0.543221469108875,0.6626980287114026,0.6448503315359082,0.8395015407514437,1e-05
0.5157697023432932,0.5562368207252942,0.6879064928344324,0.697402508992457,0.8116489608624352,1e-05
0.5101457684128373,0.5520538638990659,0.6690535297983115,0.6817555355681704,0.8094530913791079,1e-05
0.5010943941128106,0.5506510823391951,0.6712509227557425,0.675253721302939,0.8204189940019567,1e-05
0.5005442433887057,0.5367414180475932,0.6595791341394558,0.6309556703480707,0.845505111431818,1e-05
0.4955193023622772,0.5283598103202306,0.6582472247997289,0.6258472139753731,0.8587293714805068,1e-05
